Matrix,Time(us)
bcsstm07,4.0
deter7,19.0
lpi_bgdbg1,1.0
orani678,32.0
bcsstm26,4.0
umistfacesnorm_10NN,4.0
lp_qap15,40.0
oscil_dcop_24,1.0
ri2010,186.0
fpga_dcop_13,3.0
fpga_dcop_01,4.0
dwt_503,3.0
EX3,31.0
pds10,75.0
jagmesh4,5.0
reorientation_6,18.0
ch7-6-b1,1.0
lpi_ex72a,0.0
cis-n4c6-b14,6.0
oscil_dcop_42,1.0
shermanACb,119.0
tuma2,31.0
lp_ken_07,6.0
bips98_1450,33.0
lhr04c,33.0
lp_scsd1,1.0
dataset18mfeatmorphological_10NN,11.0
ash219,0.0
c-33,28.0
lshp1270,4.0
lowThrust_6,97.0
viscoplastic1,27.0
G62,15.0
vsp_data_and_seymourl,67.0
problem1,2.0
cage7,2.0
dictionary28,422.0
n4c5-b8,9.0
lpi_refinery,1.0
poli,10.0
west2021,5.0
dwt_162,1.0
adder_trans_02,9.0
lp_degen3,11.0
ACTIVSg2000,15.0
gr_30_30,4.0
qh882,3.0
nos1,1.0
M10PI_n,1.0
power,16.0
adder_dcop_08,7.0
wheel_5_1,0.0
bcsstk03,0.0
mario001,114.0
GD96_d,1.0
lp_stair,2.0
bloweya,82.0
oscil_dcop_54,1.0
bibd_13_6,7.0
c-73,668.0
mcfe,11.0
case9,65.0
lpi_bgprtr,0.0
Trec4,0.0
gen1,23.0
n2c6-b5,14.0
fpga_dcop_22,4.0
gen2,32.0
spaceStation_10,8.0
adder_dcop_09,6.0
cis-n4c6-b3,13.0
adder_dcop_11,6.0
west0479,1.0
CSphd,4.0
big_dual,69.0
Trefethen_700,6.0
scsd8-2c,51.0
eurqsa,24.0
rdb200l,1.0
192bit,95.0
bayer05,14.0
G35,12.0
bcsstm22,0.0
rajat26,167.0
stokes64s,62.0
fs_680_1,2.0
c-50,109.0
G31,18.0
cdde1,2.0
fpga_dcop_40,4.0
G12,2.0
av41092,668.0
SciMet,9.0
pf2177,22.0
S40PI_n,5.0
Olivetti_norm_10NN,3.0
celegansneural,1.0
barth,22.0
bcsstm21,8.0
Fashion_MNIST_norm_10NN,97.0
plantsmargin_12NN,12.0
wang2,9.0
mycielskian4,0.0
lp_pds_06,35.0
scfxm1-2b,58.0
stufe-10,59.0
gemat11,18.0
t2dal,21.0
n4c5-b4,7.0
soc-sign-bitcoin-alpha,17.0
lpi_vol1,1.0
bp_0,3.0
twotone,554.0
G55,17.0
adder_dcop_22,6.0
adder_dcop_41,7.0
Alemdar,25.0
lp_sc50b,0.0
can_187,1.0
G60,25.0
MISKnowledgeMap,26.0
mark3jac040sc,59.0
neos,1164.0
Tina_AskCog,0.0
S40PI_n1,4.0
adder_dcop_69,7.0
fs_760_1,3.0
sphere2,0.0
relat4,0.0
mycielskian6,1.0
GL7d11,3.0
jagmesh2,4.0
sts4098,37.0
polblogs,9.0
lp_agg3,3.0
bp_200,3.0
bp_400,3.0
pde225,1.0
ts-palko,594.0
bcsstk23,22.0
N_biocarta,6.0
rosen7,3.0
dataset12mfeatfactors_10NN,13.0
rajat07,40.0
s3rmt3m1,90.0
kineticBatchReactor_5,41.0
LeGresley_2508,11.0
comsol,36.0
plddb,7.0
dwt_87,0.0
vsp_c-30_data_data,59.0
raefsky6,53.0
beacxc,17.0
lp_dfl001,27.0
delf,8.0
nsir,56.0
G52,6.0
bcsstm20,1.0
adder_dcop_32,6.0
airfoil1,12.0
cat_ears_2_1,0.0
dwt_758,4.0
l30,24.0
impcol_c,0.0
tumorAntiAngiogenesis_4,3.0
qiulp,3.0
rail_1357,6.0
ex20,29.0
YaleA_10NN,1.0
n3c4-b3,0.0
t2dah_a,80.0
ex9,43.0
ex23,18.0
Chem97ZtZ,7.0
oscil_dcop_46,1.0
grid2,8.0
oscil_dcop_01,1.0
saylr3,4.0
sx-mathoverflow,246.0
G50,6.0
oscil_dcop_38,1.0
bfly,108.0
ch7-6-b4,38.0
can_838,5.0
can_62,0.0
beaflw,17.0
cage3,0.0
semeion_10NN,11.0
ch6-6-b5,2.0
OPF_3754,82.0
cnae9_10NN,9.0
Trefethen_200,2.0
rel6,4.0
mhd3200b,10.0
spaceStation_3,3.0
fs_183_1,1.0
c-28,19.0
GD01_Acap,1.0
nemspmm2,26.0
geom,26.0
G25,18.0
g7jac040,55.0
c-45,77.0
west0497,2.0
aa01,25.0
dynamicSoaringProblem_6,18.0
sherman2,10.0
p2756,5.0
sctap1-2c,11.0
L-9,40.0
obstclae,113.0
Erdos992,17.0
LFAT5,0.0
G40,12.0
oscil_dcop_26,1.0
bcspwr10,16.0
G42,13.0
G6,15.0
cell2,18.0
coupled,72.0
lp_ship04s,2.0
adder_dcop_49,6.0
bayer06,13.0
dw2048,5.0
zeros_nopss_13k,37.0
oscil_dcop_37,1.0
bcsstk07,4.0
rajat04,5.0
gyro_k,412.0
abtaha2,81.0
ex21,8.0
lp_stocfor2,5.0
fpga_dcop_09,4.0
west0156,1.0
can_1054,7.0
cage,2.0
gas_sensor,753.0
bcsstm35,50.0
model10,58.0
ODLIS,11.0
Franz6,22.0
swang1,10.0
n4c6-b4,50.0
d_pretok,847.0
dynamicSoaringProblem_7,18.0
adder_dcop_04,6.0
GD01_c,0.0
G24,18.0
S20PI_n,3.0
bibd_15_7,38.0
vt2010,257.0
145bit,6.0
spaceStation_4,7.0
mk11-b1,2.0
lp_scorpion,1.0
bfwa782,4.0
bfwb782,3.0
lp_qap12,17.0
spaceStation_13,11.0
lp_kb2,0.0
bcsstm03,0.0
p2p-Gnutella09,18.0
nos2,2.0
oscil_dcop_15,1.0
Sandi_sandi,1.0
n3c6-b3,3.0
reorientation_2,9.0
adder_dcop_24,7.0
rotor1,1.0
lpi_klein1,1.0
lp_standmps,2.0
lp_grow22,4.0
cavity05,14.0
jagmesh1,3.0
nos4,0.0
cavity03,3.0
Erdos991,2.0
GL7d25,41.0
lp_beaconfd,2.0
oscil_dcop_08,1.0
curtis54,0.0
pores_2,5.0
ch5-5-b4,0.0
car4,42.0
fpga_dcop_07,4.0
gemat12,19.0
LeGresley_4908,23.0
rdb2048_noL,6.0
fpga_dcop_33,4.0
lpi_bgindy,26.0
gen4,39.0
fs_760_3,3.0
Trec10,3.0
scsd8-2r,86.0
rdb5000,15.0
t60k,130.0
fpga_dcop_23,4.0
cavity16,56.0
c-37,43.0
dwt_245,1.0
ch7-8-b3,129.0
ex14,30.0
email-Eu-core-temporal,10.0
delaunay_n15,239.0
Franz9,50.0
fxm2-16,16.0
mk10-b3,10.0
lp_share2b,1.0
goddardRocketProblem_2,5.0
b2_ss,3.0
dwb512,2.0
lp_fffff800,3.0
crystm01,47.0
Trefethen_20,0.0
scsd8-2b,51.0
lp_ship08s,4.0
rdb2048,6.0
robot24c1_mat5,6.0
aug2dc,60.0
lock_700,10.0
n2c6-b2,1.0
ex33,11.0
ncvxqp9,38.0
lshp2233,8.0
t2dal_a,21.0
t2dal_e,9.0
sherman4,3.0
jgl011,0.0
lp_pds_02,10.0
cz5108,25.0
pde900,2.0
wing_nodal,86.0
G4,15.0
fd12,18.0
netscience,5.0
shyy41,11.0
lhr01,8.0
stufe,3.0
TF11,1.0
pde2961,7.0
data,14.0
lp_80bau3b,12.0
cat_ears_4_1,1.0
mimo46x46_system,37.0
karted,1108.0
lap_25,0.0
c-36,34.0
kineticBatchReactor_2,22.0
testbig,40.0
kineticBatchReactor_6,39.0
dwt_307,2.0
olm500,1.0
G54,6.0
fpga_dcop_45,4.0
IG5-9,3.0
rajat19,4.0
pgp2,11.0
lp_sctap2,4.0
162bit,19.0
watt_1,5.0
mult_dcop_01,161.0
GL6_D_10,2.0
adder_dcop_07,6.0
bcsstm34,10.0
n3c5-b2,0.0
M40PI_n1,4.0
lp_modszk1,2.0
Trec12,45.0
fs_183_6,1.0
bcsstm12,10.0
dawson5,464.0
n3c5-b7,0.0
bp_1400,3.0
c-21,17.0
tuma1,55.0
c-38,41.0
adder_dcop_47,7.0
rajat11,0.0
wang4,82.0
ch7-9-b2,38.0
gent113,1.0
s3rmt3m3,85.0
GD00_c,2.0
model6,13.0
tumorAntiAngiogenesis_5,2.0
freeFlyingRobot_15,23.0
fxm3_6,27.0
lhr10,93.0
illc1850,5.0
psse2,67.0
G20,5.0
cage4,0.0
GD96_b,0.0
rajat08,53.0
kmnist_norm_10NN,97.0
bp_600,3.0
n3c5-b5,1.0
fome12,81.0
bcsstk08,7.0
oscil_dcop_05,1.0
Maragal_5,37.0
IG5-7,0.0
G3,15.0
bips07_1998,45.0
lshp2614,9.0
mk11-b3,37.0
mk11-b2,15.0
n4c5-b10,1.0
rajat03,18.0
flower_4_4,9.0
ASIC_320k,1538.0
reorientation_4,16.0
zed,1.0
IG5-14,102.0
plat362,3.0
odepb400,1.0
epb2,81.0
mk9-b3,2.0
tols1090,3.0
oscil_dcop_43,1.0
f855_mat9,62.0
dwt_221,1.0
nasa4704,47.0
spaceStation_6,8.0
n3c6-b11,0.0
rw136,0.0
air02,18.0
can_61,0.0
circuit_2,14.0
Pd_rhs,14.0
G11,2.0
lung1,4.0
garon1,38.0
L,2.0
lhr04,33.0
cz2548,13.0
wiki-RfA,125.0
Franz2,14.0
stokes64,62.0
D_5,2.0
Zd_Jac6,542.0
lp_nug30,812.0
dwt_869,4.0
robot24c1_mat5_J,6.0
WorldCities,6.0
jagmesh7,4.0
std1_Jac3,462.0
watt_2,6.0
Trefethen_200b,1.0
lp_shell,2.0
ex25,11.0
cat_ears_2_4,4.0
impcol_d,1.0
gen,23.0
de063155,3.0
oscil_dcop_10,1.0
TF10,1.0
nopss_11k,33.0
freeFlyingRobot_11,20.0
will57,0.0
Trec7,0.0
reorientation_8,18.0
tumorAntiAngiogenesis_7,2.0
adder_dcop_10,7.0
e18,86.0
raefsky4,492.0
M40PI_n,5.0
G64,46.0
lpi_pilot4i,3.0
nl,25.0
bcsstk05,1.0
cavity14,32.0
spaceStation_12,10.0
lp_finnis,2.0
wing,142.0
oscil_trans_01,1.0
kineticBatchReactor_8,42.0
bcspwr02,0.0
adder_dcop_35,6.0
ash608,1.0
Goodwin_017,40.0
cryg10000,26.0
fv3,48.0
DK01R,6.0
mk11-b4,26.0
oscil_dcop_51,1.0
freeFlyingRobot_8,18.0
ck400,2.0
tols4000,8.0
lp_nug08,3.0
ex3,23.0
seymourl,23.0
watson_1,592.0
memplus,64.0
mk9-b2,3.0
Oregon-1,47.0
bcspwr01,0.0
dw256A,1.0
deltaX,165.0
g7jac040sc,54.0
lnsp_131,0.0
model5,31.0
rajat02,7.0
S10PI_n,2.0
USAir97,2.0
kneser_6_2_1,2.0
lp_recipe,0.0
ch,12.0
N_reactome,32.0
lp_share1b,1.0
impcol_e,1.0
Kaufhold,34.0
grid1,1.0
2D_27628_bjtcai,192.0
dwa512,1.0
airfoil1_dual,17.0
nh2010,402.0
co5,27.0
stat96v5,84.0
bibd_14_7,20.0
Trefethen_20b,0.0
G16,5.0
adder_dcop_52,6.0
grid2_dual,7.0
lp_greenbeb,17.0
G66,19.0
Sieber,7.0
GD00_a,1.0
oscil_dcop_50,1.0
fpga_dcop_28,4.0
iris_dataset_30NN,2.0
rel4,0.0
dynamicSoaringProblem_1,3.0
wheel_3_1,0.0
adder_dcop_44,7.0
Trec11,12.0
SiNa,80.0
ash85,1.0
lp_cycle,10.0
p0291,1.0
bayer09,11.0
spaceStation_5,8.0
hydr1c,14.0
dwt_72,0.0
aa6,19.0
problem,0.0
Hamrle1,0.0
c-43,59.0
bodyy5,65.0
c-34,33.0
lp_scrs8,2.0
fome20,129.0
gre_343,1.0
oscil_dcop_56,1.0
mimo28x28_system,37.0
d_dyn,0.0
pesa,38.0
mahindas,5.0
bcsstk09,8.0
p2p-Gnutella31,222.0
Franz4,21.0
oscil_dcop_03,1.0
mesh2em5,1.0
bayer02,38.0
psse0,60.0
dwt_310,2.0
n3c4-b4,0.0
deter5,15.0
c-20,13.0
flowmeter5,32.0
big,46.0
tols2000,4.0
Trefethen_300,2.0
fpga_dcop_15,4.0
ash292,2.0
freeFlyingRobot_3,7.0
p0282,1.0
world,114.0
epb0,5.0
SmallW,1.0
nemeth23,461.0
tub1000,2.0
G30,18.0
bcspwr08,6.0
lpi_chemcom,1.0
adder_trans_01,9.0
jan99jac060,76.0
venkat01,730.0
jan99jac020sc,23.0
steam3,1.0
msc01050,14.0
lp_osa_07,48.0
freeFlyingRobot_1,3.0
str_600,2.0
G21,5.0
sherman1,4.0
oscil_dcop_17,1.0
jan99jac060sc,72.0
pds-90,614.0
fs_541_2,2.0
dwt_59,0.0
lp_e226,2.0
igbt3,106.0
netz4504_dual,2.0
GD98_b,0.0
can_161,1.0
adder_dcop_59,7.0
g3rmt3m3,85.0
TF16,138.0
Zhao1,86.0
rdb450l,1.0
G2,15.0
c-35,34.0
ch7-7-b1,2.0
shermanACd,31.0
TF13,6.0
G23,18.0
bcspwr05,2.0
cavity23,57.0
shl_200,2.0
GD97_b,0.0
bcspwr03,1.0
invextr1_new,689.0
freeFlyingRobot_4,10.0
adder_dcop_16,7.0
cavity10,32.0
mnist_test_norm_10NN,83.0
fpga_dcop_35,4.0
G22,18.0
fpga_dcop_32,4.0
adder_dcop_21,7.0
filter2D,6.0
dendrimer,23.0
micromass_10NN,4.0
cca,104.0
bcsstk24,64.0
SmaGri,4.0
lhr71c,611.0
n2c6-b3,3.0
bcsstk10,10.0
fd18,39.0
scrs8-2c,4.0
c-42,53.0
rdb200,1.0
oscil_dcop_11,1.0
ca-HepTh,47.0
fpga_trans_01,4.0
kneser_8_3_1,39.0
df2177,9.0
California,27.0
model2,4.0
lp_osa_60,513.0
